date,description,amount,category
2024-11-22,BookMyShow movie,4140.85,Entertainment
2024-01-02,Swiggy order,1661.54,Food
2024-04-20,Gym membership,1281.29,Health
2024-08-12,Dominos,3819.85,Food
2024-04-21,IndiGo flight,679.81,Travel
2024-04-16,Electricity bill,2206.08,Utilities
2024-02-23,YouTube Premium,2651.53,Entertainment
2024-06-06,Reliance Digital,1628.22,Shopping
2024-01-08,Ola cab,1990.05,Travel
2024-05-08,YouTube Premium,3336.16,Entertainment
2024-06-01,Cafe Coffee Day,915.29,Food
2024-07-30,Gym membership,3900.22,Health
2024-03-26,Flipkart order,3863.9,Shopping
2024-06-06,Cafe Coffee Day,2900.27,Food
2024-11-20,Gym membership,2205.22,Health
2024-10-09,Doctor consultation,190.59,Health
2024-11-08,Electricity bill,4296.48,Utilities
2024-12-13,Flipkart order,1780.9,Shopping
2024-12-30,YouTube Premium,842.67,Entertainment
2024-12-28,YouTube Premium,3794.39,Entertainment
2024-08-27,Reliance Digital,592.13,Shopping
2024-01-24,Broadband bill,3372.93,Utilities
2024-06-11,Ola cab,1905.1,Travel
2024-04-01,D-Mart,2834.05,Shopping
2024-11-03,D-Mart,2428.2,Shopping
2024-11-15,MedPlus medicines,3206.68,Health
2024-11-01,Uber ride,4058.42,Travel
2024-12-12,BookMyShow movie,326.29,Entertainment
2024-05-31,Flipkart order,748.5,Shopping
2024-10-01,Netflix subscription,61.17,Entertainment
2024-09-28,Reliance Digital,1856.53,Shopping
2024-07-14,Reliance Digital,4094.02,Shopping
2024-08-02,BookMyShow movie,2673.42,Entertainment
2024-03-25,Big Bazaar groceries,4173.13,Food
2024-01-19,Broadband bill,3720.88,Utilities
2024-04-11,Netflix subscription,3530.38,Entertainment
2024-02-29,YouTube Premium,2260.39,Entertainment
2024-08-30,Doctor consultation,1722.88,Health
2024-03-10,Airtel recharge,3282.28,Utilities
2024-03-09,Myntra clothes,305.5,Shopping
2024-02-07,Gym membership,872.63,Health
2024-04-22,Steam game,4672.6,Entertainment
2024-11-21,Netflix subscription,3952.17,Entertainment
2024-05-04,Cafe Coffee Day,477.43,Food
2024-01-16,Uber ride,1342.92,Travel
2024-03-01,Doctor consultation,3054.83,Health
2024-03-18,Cafe Coffee Day,2822.21,Food
2024-02-26,Dominos,592.3,Food
2024-01-01,Uber ride,577.98,Travel
2024-12-11,IndiGo flight,2755.82,Travel
2024-06-30,Airtel recharge,2402.07,Utilities
2024-10-06,Reliance Digital,2385.59,Shopping
2024-07-29,Steam game,947.25,Entertainment
2024-12-15,YouTube Premium,2415.52,Entertainment
2024-09-13,Doctor consultation,3249.37,Health
2024-08-23,Big Bazaar groceries,3662.4,Food
2024-12-29,Cafe Coffee Day,3780.73,Food
2024-11-05,Flipkart order,1407.54,Shopping
2024-12-20,MedPlus medicines,3941.14,Health
2024-09-21,Dominos,4401.62,Food
2024-05-26,Broadband bill,3974.47,Utilities
2024-05-03,LPG gas cylinder,2540.46,Utilities
2024-04-11,Big Bazaar groceries,937.14,Food
2024-09-23,YouTube Premium,1801.56,Entertainment
2024-02-03,BookMyShow movie,1180.47,Entertainment
2024-10-29,Netflix subscription,275.37,Entertainment
2024-11-30,Apollo pharmacy,2662.92,Health
2024-05-03,D-Mart,1002.35,Shopping
2024-01-11,Apollo pharmacy,3462.01,Health
2024-05-07,Ola cab,4465.72,Travel
2024-09-29,Apollo pharmacy,1167.84,Health
2024-03-24,Metro card recharge,3976.52,Travel
2024-03-21,Big Bazaar groceries,3831.85,Food
2024-01-23,Netflix subscription,2984.1,Entertainment
2024-11-19,Amazon purchase,4483.68,Shopping
2024-12-30,Cafe Coffee Day,1138.18,Food
2024-01-25,Spotify premium,2770.6,Entertainment
2024-05-08,BookMyShow movie,2761.23,Entertainment
2024-03-12,Apollo pharmacy,1691.05,Health
2024-03-08,Broadband bill,4109.61,Utilities
2024-03-30,Cafe Coffee Day,3556.0,Food
2024-10-10,Electricity bill,1916.72,Utilities
2024-01-02,Uber ride,1720.81,Travel
2024-09-13,Electricity bill,4266.25,Utilities
2024-03-06,Apollo pharmacy,4879.78,Health
2024-12-09,Amazon purchase,1416.82,Shopping
2024-05-12,BookMyShow movie,3049.48,Entertainment
2024-12-12,LPG gas cylinder,4096.9,Utilities
2024-08-17,IndiGo flight,431.55,Travel
2024-10-12,Spotify premium,1794.87,Entertainment
2024-07-31,Uber ride,443.08,Travel
2024-07-05,Cafe Coffee Day,224.84,Food
2024-09-16,Big Bazaar groceries,3802.03,Food
2024-07-08,Apollo pharmacy,3756.26,Health
2024-10-05,Zomato pizza,2381.54,Food
2024-06-26,Reliance Digital,3932.63,Shopping
2024-12-13,Zomato pizza,4905.88,Food
2024-09-15,Steam game,2786.86,Entertainment
2024-10-04,IRCTC train ticket,2170.3,Travel
2024-04-03,Dominos,4418.13,Food
2024-07-19,Cafe Coffee Day,4044.19,Food
2024-02-29,Steam game,4184.99,Entertainment
2024-10-06,Flipkart order,2011.75,Shopping
2024-04-06,Cafe Coffee Day,604.6,Food
2024-01-16,LPG gas cylinder,3080.46,Utilities
2024-10-04,Amazon purchase,1374.19,Shopping
2024-06-25,Flipkart order,4372.86,Shopping
2024-09-30,LPG gas cylinder,2296.45,Utilities
2024-10-15,Gym membership,1325.2,Health
2024-10-28,Flipkart order,440.02,Shopping
2024-09-09,Apollo pharmacy,861.93,Health
2024-04-16,Airtel recharge,4872.06,Utilities
2024-01-29,Uber ride,4125.73,Travel
2024-07-16,Big Bazaar groceries,927.05,Food
2024-10-10,MedPlus medicines,2352.83,Health
2024-01-27,Cafe Coffee Day,3651.76,Food
2024-11-29,Steam game,3888.34,Entertainment
2024-09-28,Ola cab,1353.13,Travel
2024-05-24,Myntra clothes,3416.0,Shopping
2024-08-31,D-Mart,2681.31,Shopping
2024-09-03,YouTube Premium,4489.52,Entertainment
2024-09-29,Myntra clothes,58.36,Shopping
2024-11-17,D-Mart,3966.31,Shopping
2024-09-11,Doctor consultation,2196.38,Health
2024-04-01,Reliance Digital,2319.76,Shopping
2024-09-06,Gym membership,1130.89,Health
2024-07-04,D-Mart,2923.83,Shopping
2024-06-12,Water bill,4605.15,Utilities
2024-04-20,Amazon purchase,1352.66,Shopping
2024-10-23,Airtel recharge,104.13,Utilities
2024-10-01,Dominos,4763.98,Food
2024-04-28,Water bill,3561.55,Utilities
2024-12-29,IRCTC train ticket,707.21,Travel
2024-06-23,Electricity bill,1400.42,Utilities
2024-01-29,Spotify premium,2789.36,Entertainment
2024-08-11,Reliance Digital,2046.51,Shopping
2024-02-28,Spotify premium,1786.68,Entertainment
2024-10-15,MedPlus medicines,3489.32,Health
2024-10-23,Myntra clothes,2175.96,Shopping
2024-05-16,Water bill,2375.18,Utilities
2024-08-06,Water bill,4152.95,Utilities
2024-02-29,Spotify premium,63.83,Entertainment
2024-03-01,Steam game,1886.36,Entertainment
2024-07-04,Zomato pizza,4429.31,Food
2024-12-11,Doctor consultation,3474.51,Health
2024-02-16,Gym membership,3223.13,Health
2024-08-03,Reliance Digital,4958.7,Shopping
2024-06-16,Apollo pharmacy,2502.6,Health
2024-11-11,Myntra clothes,3821.51,Shopping
2024-05-03,Netflix subscription,2484.32,Entertainment
2024-05-21,Dominos,2672.32,Food
2024-03-31,Dominos,3538.45,Food
2024-07-29,Metro card recharge,2150.09,Travel
2024-08-08,Dominos,944.78,Food
2024-06-09,Broadband bill,754.39,Utilities
2024-05-11,Swiggy order,3787.43,Food
2024-03-26,IRCTC train ticket,772.14,Travel
2024-11-07,Zomato pizza,586.79,Food
2024-01-30,Reliance Digital,3579.99,Shopping
2024-01-22,Myntra clothes,4035.66,Shopping
2024-01-20,IndiGo flight,3031.77,Travel
2024-10-09,Flipkart order,436.29,Shopping
2024-11-02,D-Mart,1803.2,Shopping
2024-03-04,Netflix subscription,4167.7,Entertainment
2024-07-01,Gym membership,332.68,Health
2024-04-25,IndiGo flight,1241.6,Travel
2024-05-14,Flipkart order,4701.02,Shopping
2024-03-11,YouTube Premium,855.57,Entertainment
2024-08-20,Doctor consultation,118.81,Health
2024-10-30,Ola cab,852.32,Travel
2024-02-03,LPG gas cylinder,2129.15,Utilities
2024-09-02,Electricity bill,4962.59,Utilities
2024-06-27,Broadband bill,3651.92,Utilities
2024-08-26,Broadband bill,320.91,Utilities
2024-10-12,Zomato pizza,4707.64,Food
2024-08-18,Apollo pharmacy,1047.72,Health
2024-10-29,Dominos,2952.06,Food
2024-12-25,Uber ride,4612.81,Travel
2024-11-30,Broadband bill,4064.82,Utilities
2024-05-08,Cafe Coffee Day,963.44,Food
2024-11-22,Steam game,3691.06,Entertainment
2024-07-26,LPG gas cylinder,2859.02,Utilities
